REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINOTHBTN,1,2050,13.497
GLOBAL,MINOTHIND,1,2021,13.497
GLOBAL,MINOTHIND,1,2022,13.497
GLOBAL,MINOTHIND,1,2023,13.497
GLOBAL,MINOTHIND,1,2024,13.497
GLOBAL,MINOTHIND,1,2025,13.497
GLOBAL,MINOTHIND,1,2026,13.497
GLOBAL,MINOTHIND,1,2027,13.497
GLOBAL,MINOTHIND,1,2028,13.497
GLOBAL,MINOTHIND,1,2029,13.497
GLOBAL,MINOTHIND,1,2030,13.497
GLOBAL,MINOTHIND,1,2031,13.497
GLOBAL,MINOTHIND,1,2032,13.497
GLOBAL,MINOTHIND,1,2033,13.497
GLOBAL,MINOTHIND,1,2034,13.497
GLOBAL,MINOTHIND,1,2035,13.497
GLOBAL,MINOTHIND,1,2036,13.497
GLOBAL,MINOTHIND,1,2037,13.497
GLOBAL,MINOTHIND,1,2038,13.497
GLOBAL,MINOTHIND,1,2039,13.497
GLOBAL,MINOTHIND,1,2040,13.497
GLOBAL,MINOTHIND,1,2041,13.497
GLOBAL,MINOTHIND,1,2042,13.497
GLOBAL,MINOTHIND,1,2043,13.497
GLOBAL,MINOTHIND,1,2044,13.497
GLOBAL,MINOTHIND,1,2045,13.497
GLOBAL,MINOTHIND,1,2046,13.497
GLOBAL,MINOTHIND,1,2047,13.497
GLOBAL,MINOTHIND,1,2048,13.497
GLOBAL,MINOTHIND,1,2049,13.497
GLOBAL,MINOTHIND,1,2050,13.497
GLOBAL,MINOTHINT,1,2021,17.546
GLOBAL,MINOTHINT,1,2022,17.546
GLOBAL,MINOTHINT,1,2023,17.546
GLOBAL,MINOTHINT,1,2024,17.546
GLOBAL,MINOTHINT,1,2025,17.546
GLOBAL,MINOTHINT,1,2026,17.546
GLOBAL,MINOTHINT,1,2027,17.546
GLOBAL,MINOTHINT,1,2028,17.546
GLOBAL,MINOTHINT,1,2029,17.546
GLOBAL,MINOTHINT,1,2030,17.546
GLOBAL,MINOTHINT,1,2031,17.546
GLOBAL,MINOTHINT,1,2032,17.546
GLOBAL,MINOTHINT,1,2033,17.546
GLOBAL,MINOTHINT,1,2034,17.546
GLOBAL,MINOTHINT,1,2035,17.546
GLOBAL,MINOTHINT,1,2036,17.546
GLOBAL,MINOTHINT,1,2037,17.546
GLOBAL,MINOTHINT,1,2038,17.546
GLOBAL,MINOTHINT,1,2039,17.546
GLOBAL,MINOTHINT,1,2040,17.546
GLOBAL,MINOTHINT,1,2041,17.546
GLOBAL,MINOTHINT,1,2042,17.546
GLOBAL,MINOTHINT,1,2043,17.546
GLOBAL,MINOTHINT,1,2044,17.546
GLOBAL,MINOTHINT,1,2045,17.546
GLOBAL,MINOTHINT,1,2046,17.546
GLOBAL,MINOTHINT,1,2047,17.546
GLOBAL,MINOTHINT,1,2048,17.546
GLOBAL,MINOTHINT,1,2049,17.546
GLOBAL,MINOTHINT,1,2050,17.546
GLOBAL,MINPETBTN,1,2021,13.497
GLOBAL,MINPETBTN,1,2022,13.497
GLOBAL,MINPETBTN,1,2023,13.497
GLOBAL,MINPETBTN,1,2024,13.497
GLOBAL,MINPETBTN,1,2025,13.497
GLOBAL,MINPETBTN,1,2026,13.497
GLOBAL,MINPETBTN,1,2027,13.497
GLOBAL,MINPETBTN,1,2028,13.497
GLOBAL,MINPETBTN,1,2029,13.497
GLOBAL,MINPETBTN,1,2030,13.497
GLOBAL,MINPETBTN,1,2031,13.497
GLOBAL,MINPETBTN,1,2032,13.497
GLOBAL,MINPETBTN,1,2033,13.497
GLOBAL,MINPETBTN,1,2034,13.497
GLOBAL,MINPETBTN,1,2035,13.497
GLOBAL,MINPETBTN,1,2036,13.497
GLOBAL,MINPETBTN,1,2037,13.497
GLOBAL,MINPETBTN,1,2038,13.497
GLOBAL,MINPETBTN,1,2039,13.497
GLOBAL,MINPETBTN,1,2040,13.497
GLOBAL,MINPETBTN,1,2041,13.497
GLOBAL,MINPETBTN,1,2042,13.497
GLOBAL,MINPETBTN,1,2043,13.497
GLOBAL,MINPETBTN,1,2044,13.497
GLOBAL,MINPETBTN,1,2045,13.497
GLOBAL,MINPETBTN,1,2046,13.497
GLOBAL,MINPETBTN,1,2047,13.497
GLOBAL,MINPETBTN,1,2048,13.497
GLOBAL,MINPETBTN,1,2049,13.497
GLOBAL,MINPETBTN,1,2050,13.497
GLOBAL,MINPETIND,1,2021,13.497
GLOBAL,MINPETIND,1,2022,13.497
GLOBAL,MINPETIND,1,2023,13.497
GLOBAL,MINPETIND,1,2024,13.497
GLOBAL,MINPETIND,1,2025,13.497
GLOBAL,MINPETIND,1,2026,13.497
GLOBAL,MINPETIND,1,2027,13.497
GLOBAL,MINPETIND,1,2028,13.497
GLOBAL,MINPETIND,1,2029,13.497
GLOBAL,MINPETIND,1,2030,13.497
GLOBAL,MINPETIND,1,2031,13.497
GLOBAL,MINPETIND,1,2032,13.497
GLOBAL,MINPETIND,1,2033,13.497
GLOBAL,MINPETIND,1,2034,13.497
GLOBAL,MINPETIND,1,2035,13.497
GLOBAL,MINPETIND,1,2036,13.497
GLOBAL,MINPETIND,1,2037,13.497
GLOBAL,MINPETIND,1,2038,13.497
GLOBAL,MINPETIND,1,2039,13.497
GLOBAL,MINPETIND,1,2040,13.497
GLOBAL,MINPETIND,1,2041,13.497
GLOBAL,MINPETIND,1,2042,13.497
GLOBAL,MINPETIND,1,2043,13.497
GLOBAL,MINPETIND,1,2044,13.497
GLOBAL,MINPETIND,1,2045,13.497
GLOBAL,MINPETIND,1,2046,13.497
GLOBAL,MINPETIND,1,2047,13.497
GLOBAL,MINPETIND,1,2048,13.497
GLOBAL,MINPETIND,1,2049,13.497
GLOBAL,MINPETIND,1,2050,13.497
GLOBAL,MINPETINT,1,2021,17.546
GLOBAL,MINPETINT,1,2022,17.546
GLOBAL,MINPETINT,1,2023,17.546
GLOBAL,MINPETINT,1,2024,17.546
GLOBAL,MINPETINT,1,2025,17.546
GLOBAL,MINPETINT,1,2026,17.546
GLOBAL,MINPETINT,1,2027,17.546
GLOBAL,MINPETINT,1,2028,17.546
GLOBAL,MINPETINT,1,2029,17.546
GLOBAL,MINPETINT,1,2030,17.546
GLOBAL,MINPETINT,1,2031,17.546
GLOBAL,MINPETINT,1,2032,17.546
GLOBAL,MINPETINT,1,2033,17.546
GLOBAL,MINPETINT,1,2034,17.546
GLOBAL,MINPETINT,1,2035,17.546
GLOBAL,MINPETINT,1,2036,17.546
GLOBAL,MINPETINT,1,2037,17.546
GLOBAL,MINPETINT,1,2038,17.546
GLOBAL,MINPETINT,1,2039,17.546
GLOBAL,MINPETINT,1,2040,17.546
GLOBAL,MINPETINT,1,2041,17.546
GLOBAL,MINPETINT,1,2042,17.546
GLOBAL,MINPETINT,1,2043,17.546
GLOBAL,MINPETINT,1,2044,17.546
GLOBAL,MINPETINT,1,2045,17.546
GLOBAL,MINPETINT,1,2046,17.546
GLOBAL,MINPETINT,1,2047,17.546
GLOBAL,MINPETINT,1,2048,17.546
GLOBAL,MINPETINT,1,2049,17.546
GLOBAL,MINPETINT,1,2050,17.546
GLOBAL,MINURNBTN,1,2021,2.0
GLOBAL,MINURNBTN,1,2022,2.0
GLOBAL,MINURNBTN,1,2023,2.0
GLOBAL,MINURNBTN,1,2024,2.0
GLOBAL,MINURNBTN,1,2025,2.0
GLOBAL,MINURNBTN,1,2026,2.0
GLOBAL,MINURNBTN,1,2027,2.0
GLOBAL,MINURNBTN,1,2028,2.0
GLOBAL,MINURNBTN,1,2029,2.0
GLOBAL,MINURNBTN,1,2030,2.0
GLOBAL,MINURNBTN,1,2031,2.0
GLOBAL,MINURNBTN,1,2032,2.0
GLOBAL,MINURNBTN,1,2033,2.0
GLOBAL,MINURNBTN,1,2034,2.0
GLOBAL,MINURNBTN,1,2035,2.0
GLOBAL,MINURNBTN,1,2036,2.0
GLOBAL,MINURNBTN,1,2037,2.0
GLOBAL,MINURNBTN,1,2038,2.0
GLOBAL,MINURNBTN,1,2039,2.0
GLOBAL,MINURNBTN,1,2040,2.0
GLOBAL,MINURNBTN,1,2041,2.0
GLOBAL,MINURNBTN,1,2042,2.0
GLOBAL,MINURNBTN,1,2043,2.0
GLOBAL,MINURNBTN,1,2044,2.0
GLOBAL,MINURNBTN,1,2045,2.0
GLOBAL,MINURNBTN,1,2046,2.0
GLOBAL,MINURNBTN,1,2047,2.0
GLOBAL,MINURNBTN,1,2048,2.0
GLOBAL,MINURNBTN,1,2049,2.0
GLOBAL,MINURNBTN,1,2050,2.0
GLOBAL,MINURNIND,1,2021,2.0
GLOBAL,MINURNIND,1,2022,2.0
GLOBAL,MINURNIND,1,2023,2.0
GLOBAL,MINURNIND,1,2024,2.0
GLOBAL,MINURNIND,1,2025,2.0
GLOBAL,MINURNIND,1,2026,2.0
GLOBAL,MINURNIND,1,2027,2.0
GLOBAL,MINURNIND,1,2028,2.0
GLOBAL,MINURNIND,1,2029,2.0
GLOBAL,MINURNIND,1,2030,2.0
GLOBAL,MINURNIND,1,2031,2.0
GLOBAL,MINURNIND,1,2032,2.0
